tick,source,destination,length
1793,S3,S4,1
1798,S2,S3,2
1802,S3,S4,2
1806,S1,S3,3
1806,S2,S3,2
1812,S2,S3,1
1818,S1,S3,3
1818,S2,S4,3
1818,S3,S2,4
1825,S1,S2,3
1826,S2,S3,2
1826,S3,S4,2
1828,S1,S2,2
1829,S2,S3,3
1836,S1,S2,2
1838,S3,S4,1
1839,S1,S3,4
1839,S3,S4,2
1840,S2,S3,3
1842,S3,S2,1
1843,S1,S2,2
1843,S3,S4,4
1848,S1,S2,4
1852,S3,S2,2
1855,S3,S4,4
1856,S1,S2,2
1861,S3,S2,4
1863,S1,S2,4
1865,S2,S3,4
1869,S3,S2,1
1870,S1,S3,2
1870,S2,S3,1
1871,S2,S3,4
1871,S3,S4,4
1879,S3,S4,3
1885,S1,S4,3
1891,S1,S2,3
1892,S3,S4,3
1894,S1,S2,4
1897,S2,S3,1
1899,S1,S2,2
1900,S3,S4,3
1904,S3,S2,4
1905,S1,S2,3
1905,S2,S3,3
1912,S3,S2,3
1913,S1,S2,4
1918,S3,S4,3
1925,S3,S2,2
1926,S1,S4,1
1927,S1,S4,3
1927,S3,S2,4
1939,S2,S3,3
1942,S2,S3,4
1949,S1,S2,2
1950,S3,S2,4
1956,S2,S4,2
1956,S3,S4,4
1961,S1,S2,1
1962,S3,S4,3
1963,S2,S3,3
1965,S3,S2,4
1976,S3,S2,1
1983,S2,S3,1
1985,S1,S2,4
1992,S3,S4,3
1995,S3,S2,2
2011,S3,S2,3
2014,S3,S4,3
2017,S3,S4,2
2018,S1,S2,2
2028,S2,S3,4
2032,S1,S4,3
2032,S2,S3,1
2034,S3,S4,2
2037,S3,S4,1
2041,S1,S2,3
2048,S3,S2,3
2054,S2,S3,1
2054,S3,S2,1
2063,S1,S4,4
2063,S2,S3,4
2064,S3,S2,2
2066,S3,S4,1
2069,S1,S2,1
2073,S3,S4,2
2080,S2,S3,4
2082,S3,S4,4
2085,S2,S3,2
2087,S3,S4,3
2090,S3,S4,3
2094,S1,S3,1
2099,S3,S2,1
2100,S3,S2,3
2102,S2,S3,4
2104,S1,S2,4
2104,S3,S4,2
2106,S3,S2,1
2118,S2,S3,3
2122,S1,S3,4
2126,S1,S2,2
2127,S3,S2,2
2128,S1,S2,3
2131,S3,S4,3
2137,S3,S4,4
2144,S3,S2,2
2146,S1,S2,1
2148,S1,S2,4
2152,S3,S4,4
2155,S1,S2,1
2157,S1,S4,2
2158,S3,S2,3
2163,S2,S3,4
2167,S1,S2,4
2173,S3,S4,3
2178,S1,S3,2
2179,S3,S2,1
2181,S2,S3,4
2182,S3,S2,2
2184,S3,S2,2
2186,S3,S2,4
2190,S1,S2,3
2194,S3,S2,1
2195,S3,S2,4
2198,S1,S2,1
2200,S1,S3,1
2204,S1,S2,2
2215,S3,S2,1
2224,S1,S3,2
2224,S3,S4,4
2227,S1,S2,1
2228,S1,S2,2
2233,S2,S3,2
2244,S3,S2,3
2246,S1,S4,1
2246,S2,S3,1
2250,S2,S3,2
2262,S1,S3,4
2264,S3,S2,4
2266,S1,S2,1
2270,S3,S4,2
2273,S1,S2,4
2276,S3,S2,3
2284,S1,S3,2
2284,S3,S2,4
2285,S2,S3,4
2307,S2,S3,3
2311,S1,S2,4
2316,S3,S2,1
2318,S3,S4,4
2319,S1,S2,1
2323,S2,S3,1
2324,S3,S2,2
2325,S1,S2,4
2327,S2,S3,1
2328,S2,S3,4
2337,S1,S2,1
2340,S3,S4,2
2344,S3,S2,1
2348,S3,S2,1
2349,S2,S3,2
2358,S2,S3,4
2358,S3,S4,3
2361,S1,S2,3
2362,S2,S4,4
2362,S3,S4,4
2369,S3,S2,1
2374,S1,S2,2
2385,S3,S4,4
2386,S1,S2,4
2389,S3,S4,3
2392,S2,S3,4
2393,S3,S2,2
2400,S3,S2,1
2402,S2,S3,4
2409,S2,S3,2
2410,S1,S2,4
2416,S3,S4,4
2422,S3,S4,3
2428,S3,S2,3
2431,S3,S2,4
2439,S1,S2,3
2440,S2,S4,3
2440,S3,S4,1
2442,S3,S2,2
2450,S3,S4,3
2451,S2,S3,2
2454,S1,S2,1
2454,S3,S2,2
2458,S2,S3,2
2460,S1,S2,3
2460,S3,S2,2
2462,S3,S4,1
2476,S1,S2,1
2486,S2,S3,2
2491,S1,S3,3
2491,S2,S3,4
2494,S1,S2,1
2495,S1,S3,3
2495,S2,S3,4
2500,S3,S4,1
2503,S2,S3,1
2503,S3,S2,4
2511,S3,S2,4
2519,S3,S2,2
2520,S2,S3,1
2523,S1,S3,2
2523,S3,S2,3
2525,S1,S2,2
2528,S2,S3,3
2535,S2,S4,1
2535,S3,S2,3
2546,S2,S3,2
2547,S3,S2,3
2549,S1,S2,4
2551,S3,S2,4
2555,S2,S3,4
2557,S1,S2,3
2562,S1,S3,2
2562,S3,S2,3
2565,S2,S4,1
2565,S3,S2,1
2570,S3,S2,3
2571,S1,S3,2
2571,S2,S3,4
2573,S1,S3,1
2573,S3,S4,3
2577,S3,S4,1
2581,S1,S4,2
2581,S2,S3,1
2584,S2,S3,4
2585,S3,S2,3
2592,S2,S3,3
2592,S3,S2,3
2595,S3,S2,2
2596,S2,S3,4
2602,S3,S4,3
2604,S1,S2,4
2605,S3,S4,4
2608,S1,S2,2
2609,S3,S4,2
2611,S2,S4,4
2611,S3,S2,4
2615,S2,S3,1
2615,S3,S2,2
2616,S1,S3,4
2616,S2,S3,4
2621,S1,S4,4
2621,S3,S2,3
2625,S3,S4,4
2632,S3,S2,2
2646,S1,S2,4
2647,S2,S3,2
2647,S3,S2,4
2655,S1,S4,4
2655,S2,S3,1
2658,S3,S4,1
2659,S3,S2,4
2664,S2,S3,1
2667,S3,S4,2
2671,S1,S4,3
2671,S3,S4,4
2675,S3,S2,4
2678,S2,S3,1
2682,S3,S2,3
2687,S3,S4,2
2689,S1,S2,1
2689,S2,S3,1
2693,S1,S2,3
2702,S3,S4,1
2707,S3,S4,3
2712,S1,S2,2
2714,S3,S2,4
2716,S1,S2,3
2719,S3,S2,3
2720,S1,S2,3
2724,S2,S3,1
2726,S1,S2,1
2726,S3,S2,4
2730,S2,S3,2
2738,S1,S2,3
2739,S2,S4,4
2739,S3,S4,4
2743,S1,S4,4
2743,S3,S4,1
2746,S3,S4,1
2748,S3,S2,1
2749,S3,S4,1
2750,S3,S4,4
2754,S3,S4,3
2761,S2,S3,4
2763,S3,S4,3
2764,S1,S2,4
2773,S1,S2,4
2775,S3,S4,2
2777,S3,S2,1
2781,S3,S4,4
2792,S2,S3,2
2795,S3,S4,1
2797,S2,S3,1
2797,S3,S4,1
2800,S3,S4,1
2803,S1,S4,3
2803,S3,S4,4
2808,S2,S3,2
2818,S1,S4,4
2818,S3,S2,1
2819,S3,S2,3
2822,S2,S3,2
2825,S2,S3,2
2832,S3,S4,1
2846,S3,S2,3
2851,S2,S3,2
2861,S1,S3,1
2861,S3,S4,2
2865,S1,S4,4
2865,S3,S2,4
2876,S3,S2,4
2882,S3,S4,4
2885,S1,S3,2
2885,S2,S3,4
2887,S1,S3,1
2887,S3,S4,2
2893,S3,S2,3
2900,S2,S3,3
2901,S1,S2,3
2904,S3,S4,3
2913,S3,S2,4
2917,S2,S3,2
2921,S3,S4,3
2926,S1,S2,1
2927,S3,S4,1
2930,S3,S4,3
2933,S1,S4,2
2933,S3,S4,4
2935,S1,S2,2
2944,S1,S3,2
2944,S2,S3,3
2947,S3,S2,1
2949,S1,S3,2
2949,S2,S3,2
2949,S3,S2,1
2950,S3,S2,1
2951,S2,S3,3
2959,S1,S2,1
2962,S1,S2,2
2967,S1,S2,4
2969,S3,S4,4
2976,S3,S2,4
2978,S2,S3,2
2981,S3,S2,1
2983,S3,S4,3
2988,S1,S2,4
2990,S3,S4,3
2999,S1,S2,1
3001,S3,S2,4
3002,S2,S3,4
3007,S3,S4,3
3008,S2,S3,4
3014,S3,S4,3
3017,S3,S4,3
3021,S3,S2,4
3025,S2,S3,2
3026,S3,S2,4
3031,S1,S2,2
3033,S3,S2,1
3035,S1,S2,1
3038,S2,S3,4
3039,S1,S4,1
3039,S3,S2,3
3045,S3,S4,4
3049,S1,S2,3
3050,S3,S2,1
3051,S2,S4,3
3051,S3,S2,4
3057,S3,S4,1
3061,S3,S4,2
3066,S2,S3,3
3071,S1,S3,4
3071,S2,S3,3
3078,S3,S2,3
3080,S2,S3,1
3081,S2,S3,3
3084,S3,S4,1
3088,S3,S4,3
3093,S1,S4,4
3093,S2,S3,4
3104,S2,S3,2
3112,S1,S3,2
3112,S2,S3,2
3114,S1,S2,4
3117,S3,S2,2
3125,S2,S3,1
3125,S3,S4,4
3127,S1,S2,1
3135,S3,S2,2
3137,S1,S2,4
3137,S3,S2,3
3140,S2,S3,4
3149,S3,S4,4
3151,S2,S3,1
3154,S3,S2,2
3159,S2,S3,4
3163,S3,S2,3
3166,S2,S3,2
3166,S3,S4,4
3167,S1,S2,1
3178,S2,S3,4
3181,S3,S2,3
3198,S3,S2,3
3209,S3,S4,1
3210,S1,S4,2
3210,S3,S4,1
3214,S3,S2,2
3216,S3,S4,1
3217,S3,S2,4
3219,S1,S2,2
3232,S1,S2,1
3232,S3,S2,2
3237,S1,S4,3
3237,S3,S2,1
3238,S3,S2,1
3242,S1,S2,4
3249,S3,S4,4
3253,S2,S3,3
3257,S2,S3,2
3261,S3,S4,1
3268,S2,S4,1
3268,S3,S2,1
3278,S2,S3,3
3281,S1,S3,2
3281,S2,S4,3
3281,S3,S2,4
3287,S3,S2,4
3295,S3,S2,4
3300,S2,S3,3
3300,S3,S2,3
3305,S2,S4,1
3305,S3,S2,1
3308,S2,S4,3
3308,S3,S2,2
3313,S3,S4,1
3317,S2,S3,3
3318,S3,S4,2
3328,S3,S4,2
3333,S1,S2,2
3339,S2,S3,4
3341,S1,S2,1
3347,S2,S3,4
3349,S1,S2,1
3351,S2,S3,3
3354,S3,S2,2
3359,S3,S2,3
3362,S3,S2,1
3363,S1,S3,4
3363,S3,S4,4
3367,S2,S3,3
3370,S3,S4,1
3371,S1,S2,4
3371,S2,S3,3
3377,S3,S4,4
3379,S2,S3,1
3382,S3,S4,3
3386,S1,S4,3
3386,S2,S4,2
3386,S3,S4,2
3388,S3,S2,3
3390,S1,S2,4
3391,S3,S2,4
3398,S3,S2,2
3400,S3,S4,2
3408,S3,S4,1
3409,S3,S4,2
3410,S1,S2,1
3423,S1,S2,1
3425,S3,S4,2
3426,S1,S2,4
3436,S3,S2,1
3438,S3,S2,1
3442,S3,S4,1
3443,S1,S2,3
3446,S2,S3,2
3447,S1,S2,2
3459,S3,S2,3
3461,S1,S4,3
3468,S1,S3,3
3471,S3,S2,1
3472,S3,S2,3
3474,S2,S3,1
3478,S3,S2,2
3489,S2,S3,3
3496,S2,S3,4
3508,S3,S4,3
3510,S2,S3,1
3511,S1,S3,4
3512,S3,S4,4
3516,S1,S2,4
3517,S3,S4,2
3519,S3,S4,3
3523,S3,S2,1
3526,S2,S3,3
3529,S2,S3,3
3531,S3,S4,2
3534,S1,S2,2
3535,S2,S3,3
3536,S3,S2,3
3541,S1,S2,3
3550,S1,S2,2
3552,S3,S4,1
3553,S3,S2,4
3558,S2,S4,4
3558,S3,S4,4
3564,S3,S4,4
3579,S2,S3,4
3580,S3,S2,2
3586,S3,S4,4
3590,S1,S4,3
3590,S3,S4,3
3593,S2,S3,4
3599,S2,S3,4
3605,S1,S2,3
3607,S3,S2,2
3608,S1,S3,2
3614,S3,S2,1
3615,S3,S2,3
3619,S3,S2,4
3624,S2,S3,2
3624,S3,S2,3
3628,S2,S3,2
3629,S3,S2,4
3636,S3,S4,4
3638,S1,S2,1
3651,S3,S2,1
3655,S2,S3,2
3660,S3,S4,1
3665,S1,S2,3
3668,S2,S3,2
3668,S3,S4,2
3672,S2,S3,3
3676,S3,S2,2
3678,S1,S4,3
3684,S2,S3,2
3687,S3,S2,3
3701,S3,S4,4
3707,S3,S4,1
3714,S1,S2,2
3720,S3,S2,4
3724,S1,S2,3
3724,S2,S3,4
3726,S3,S4,1
3734,S1,S2,1
3735,S2,S4,1
3735,S3,S4,3
3743,S3,S2,3
3747,S1,S2,2
3747,S2,S4,1
3747,S3,S4,3
3750,S3,S4,3
3754,S2,S3,3
3755,S1,S2,3
3755,S3,S2,4
3763,S3,S2,1
3765,S2,S3,2
3767,S1,S2,2
3769,S1,S3,2
3769,S3,S4,4
3775,S3,S4,4
3779,S1,S2,1
3780,S1,S2,4
3787,S3,S2,1
3791,S3,S4,4
3793,S2,S3,3
3797,S2,S3,2
3801,S3,S4,4
3806,S1,S2,3
3807,S2,S4,4
3807,S3,S2,1
3809,S1,S2,4
3809,S3,S2,3
3812,S2,S4,3
3812,S3,S2,3
3816,S1,S4,3
3816,S2,S3,2
3820,S2,S3,2
3825,S2,S3,3
3827,S3,S4,1
3829,S1,S2,1
3831,S1,S2,4
3836,S3,S2,1
3840,S2,S4,4
3840,S3,S2,2
3842,S1,S2,4
3842,S3,S4,2
3845,S3,S2,3
3847,S1,S2,4
3847,S2,S3,4
3849,S3,S2,1
3857,S2,S3,3
3865,S1,S2,1
3871,S3,S2,3
3875,S3,S2,4
3879,S3,S4,4
3884,S1,S2,3
3885,S3,S2,2
3886,S2,S3,1
3906,S2,S3,1
3907,S3,S4,3
3909,S1,S2,4
3909,S2,S3,2
3910,S3,S4,2
3914,S2,S3,1
3918,S2,S3,1
3921,S3,S2,2
3923,S3,S4,1
3929,S3,S2,4
3932,S2,S3,4
3933,S3,S2,3
3934,S1,S2,4
3936,S3,S2,2
3939,S2,S3,3
3940,S1,S2,3
3945,S3,S4,4
3951,S1,S2,4
3957,S3,S4,2
3959,S2,S3,4
3964,S3,S2,3
3970,S2,S3,3
3973,S1,S2,2
3977,S3,S2,3
3979,S2,S3,1
3980,S1,S2,1
3990,S3,S2,4
3997,S3,S2,2
4000,S1,S3,2
4000,S3,S4,3
4002,S1,S2,4
4002,S2,S3,1
4005,S3,S4,3
4012,S1,S4,4
4012,S2,S3,3
4014,S3,S2,4
4022,S3,S4,4
4035,S3,S2,3
4036,S2,S3,3
4039,S2,S3,1
4040,S2,S3,1
4041,S1,S2,3
4045,S3,S2,2
4047,S3,S2,2
4053,S1,S2,3
4059,S2,S3,2
4060,S3,S2,1
4068,S3,S4,4
4069,S2,S3,1
4083,S1,S2,1
4091,S3,S2,2
4093,S2,S3,1
4097,S2,S3,1
4099,S2,S3,2
4105,S3,S4,3
4107,S2,S3,2
4112,S3,S2,2
4115,S2,S4,2
4115,S3,S4,3
4120,S3,S2,1
4122,S1,S2,1
4126,S1,S2,1
4129,S3,S4,3
4132,S3,S4,3
4133,S2,S3,1
4135,S3,S2,3
4137,S2,S3,2
4138,S3,S4,4
4144,S3,S4,1
4145,S1,S2,4
4146,S3,S4,2
4165,S2,S3,3
4173,S2,S3,2
4173,S3,S2,3
4176,S3,S4,2
4177,S2,S3,3
4178,S1,S2,1
4181,S3,S2,1
4182,S1,S2,4
4182,S2,S3,1
4182,S3,S2,1
4185,S3,S4,2
4188,S3,S2,1
4189,S3,S4,1
4190,S3,S4,1
4192,S3,S2,3
4195,S1,S3,4
4195,S3,S2,2
4199,S3,S2,1
4200,S3,S4,2
4205,S3,S2,4
4206,S1,S2,2
4206,S2,S3,2
4212,S3,S2,2
4222,S3,S4,1
4225,S1,S3,3
4231,S2,S3,2
4233,S3,S4,2
4237,S3,S4,1
4247,S3,S4,1
4253,S2,S3,2
4253,S3,S4,4
4255,S1,S2,3
4256,S2,S3,3
4260,S2,S4,4
4260,S3,S4,3
4264,S2,S3,4
4264,S3,S2,2
4268,S1,S4,2
4268,S3,S4,3
4276,S2,S3,1
4278,S3,S4,2
4284,S1,S4,4
4284,S3,S4,4
4288,S1,S2,1
4290,S2,S3,2
4293,S3,S4,4
4300,S1,S2,3
4302,S2,S4,3
4302,S3,S2,1
4303,S1,S2,1
4313,S2,S3,4
4319,S2,S3,4
4319,S3,S4,4
4325,S3,S4,1
4326,S2,S4,4
4326,S3,S2,2
4328,S3,S2,3
4331,S2,S3,1
4333,S3,S4,3
4335,S1,S2,4
4340,S3,S2,1
4344,S3,S2,4
4349,S1,S2,1
4353,S2,S3,2
4355,S3,S4,3
4358,S3,S4,2
4360,S3,S2,4
4364,S2,S3,4
4365,S1,S2,4
4371,S1,S3,1
4371,S3,S2,2
4374,S2,S3,2
4374,S3,S2,1
4376,S1,S4,2
4376,S3,S4,1
4381,S1,S2,1
4389,S2,S3,1
4393,S1,S2,1
4393,S3,S2,3
4397,S3,S2,2
4401,S3,S4,4
4404,S2,S3,2
4405,S1,S3,3
4405,S3,S2,1
